Total rows: 238

monitor_id | descripcion | marca | sub_familia | grupo_comparable | ultimo_pvp | ultima_fecha
313 | Panzottis de Ricota, Jamón y Verdura TIENDA INGLESA 18 Unidades | TIENDA INGLESA | Panzottis | NULL | 426 | 2026-05-31
178 | Pesto DEL GAUCHO 350 gr | DEL GAUCHO | Pesto | NULL | 168 | 2026-05-31
166 | Pesto Clásico FILIPPO BERIO 190 gr | FILIPPO BERIO | Pesto | NULL | 331 | 2026-05-31
392 | Pizza de Muzarella CELILIFE 420 gr | CELILIFE | Pizzas Congeladas | NULL | 419 | 2026-05-31
384 | Pizza con Muzzarella Masa Madre CONAPROLE 3 un. 600 g | CONAPROLE | Pizzas Congeladas | 1 | 453 | 2026-05-31
402 | Pizza con Muzzarella Masa Madre CONAPROLE 3 un. 600 g | CONAPROLE | Pizzas Congeladas | 1 | 453 | 2026-05-31
385 | Pizza Margarita Congelada DOS ORIENTALES 413 gr | DOS ORIENTALES | Pizzas Congeladas | NULL | 488 | 2026-05-31
383 | Pizza congelada muzzarella x2 LA ESPECIALISTA 960 g | LA ESPECIALISTA | Pizzas Congeladas | NULL | 410 | 2026-05-31
401 | Pizza con Muzzarella SADIA 440 gr | SADIA | Pizzas Congeladas | NULL | 324 | 2026-05-31
390 | Pizza Mix de Quesos SADIA 440 gr | SADIA | Pizzas Congeladas | NULL | 324 | 2026-05-31
395 | Pizza con Muzzarella y Tomate Pack Familiar SIBARITA 2 Unidades 940 gr | SIBARITA | Pizzas Congeladas | NULL | 705 | 2026-05-31
389 | Pizza con Muzzarella y Tomate Pack Familiar SIBARITA 2 Unidades 940 gr | SIBARITA | Pizzas Congeladas | NULL | 705 | 2026-05-31
386 | Pizza 4 Quesos TIENDA INGLESA 42 cm | TIENDA INGLESA | Pizzas Congeladas | NULL | 589 | 2026-05-31
382 | Pizza Casera Rectangular TIENDA INGLESA (1 un.) | TIENDA INGLESA | Pizzas Congeladas | NULL | 355 | 2026-05-31
397 | Pizza Italiana TIENDA INGLESA (1 un.) | TIENDA INGLESA | Pizzas Congeladas | NULL | 240 | 2026-05-31
407 | Pizza Italiana TIENDA INGLESA (1 un.) | TIENDA INGLESA | Pizzas Congeladas | NULL | 240 | 2026-05-31
393 | Pizza Muzzarella con Jamón y Aceitunas TIENDA INGLESA 42 cm | TIENDA INGLESA | Pizzas Congeladas | NULL | 555 | 2026-05-31
387 | Pizza Muzzarella con Jamón y Aceitunas TIENDA INGLESA 42 cm | TIENDA INGLESA | Pizzas Congeladas | NULL | 555 | 2026-05-31
398 | Pizza Muzzarella con Pepperoni TIENDA INGLESA 42 cm | TIENDA INGLESA | Pizzas Congeladas | NULL | 545 | 2026-05-31
404 | Pizza Muzzarella TIENDA INGLESA 42 cm | TIENDA INGLESA | Pizzas Congeladas | NULL | 455 | 2026-05-31
403 | Pizza Muzzarella TIENDA INGLESA 42 cm | TIENDA INGLESA | Pizzas Congeladas | NULL | 455 | 2026-05-31
388 | Pizza Muzzarella TIENDA INGLESA Congelada (2 un.) | TIENDA INGLESA | Pizzas Congeladas | 2 | 534 | 2026-05-31
400 | Pizza Muzzarella TIENDA INGLESA Congelada (2 un.) | TIENDA INGLESA | Pizzas Congeladas | 2 | 534 | 2026-05-31
405 | Pizza TIENDA INGLESA Cheddar y Bacon 42 cm | TIENDA INGLESA | Pizzas Congeladas | NULL | 629 | 2026-05-31
327 | Ravioles AVANTI Verdura 500 g | AVANTI | Ravioles | 1 | 320 | 2026-05-31
292 | Ravioles de Jamón y Queso AVANTI 500 gr | AVANTI | Ravioles | 1 | 320 | 2026-05-31
298 | Ravioles EL BUEN GUSTO de Jamón y Queso 750 gr | EL BUEN GUSTO | Ravioles | NULL | 293 | 2026-05-31
337 | Ravioles EL BUEN GUSTO de Verdura 750 gr | EL BUEN GUSTO | Ravioles | 2 | 299 | 2026-05-31
328 | Ravioles de Verdura Envasados al Vacío LA ESPECIALISTA 500 gr | LA ESPECIALISTA | Ravioles | 1 | 329 | 2026-05-31
318 | Ravioles de Verdura Light LA ESPECIALISTA 500 gr | LA ESPECIALISTA | Ravioles | 1 | 329 | 2026-05-31
310 | Ravioles jamón y queso LA ESPECIALISTA 500 g | LA ESPECIALISTA | Ravioles | NULL | 329 | 2026-05-31
325 | Ravioles de Verdura TIENDA INGLESA 500 gr | TIENDA INGLESA | Ravioles | NULL | 296 | 2026-05-31
331 | Ravioles de Verdura TIENDA INGLESA Masa Espinaca x 100 Unidades | TIENDA INGLESA | Ravioles | NULL | 426 | 2026-05-31
322 | Ravioles de Verdura TIENDA INGLESA Masa Espinaca x 100 Unidades | TIENDA INGLESA | Ravioles | NULL | 426 | 2026-05-31
297 | Ravioles Jamón y Queso TIENDA INGLESA 500 gr | TIENDA INGLESA | Ravioles | 2 | 288 | 2026-05-31
300 | Ravioles TIENDA INGLESA de Jamón y Queso 100 Unidades | TIENDA INGLESA | Ravioles | NULL | 426 | 2026-05-31
303 | Ravioles TIENDA INGLESA de Jamón y Queso 100 Unidades | TIENDA INGLESA | Ravioles | NULL | 426 | 2026-05-31
332 | Ravioles TIENDA INGLESA Rellenos de Verdura 100 Unidades | TIENDA INGLESA | Ravioles | NULL | 426 | 2026-05-31
324 | Ravioles TIENDA INGLESA Rellenos de Verdura 100 Unidades | TIENDA INGLESA | Ravioles | NULL | 426 | 2026-05-31
304 | Ravioles de jamón y queso 5 ESTRELLAS congelados 750 g | 5 ESTRELLAS | Ravioles Congelados | NULL | 308 | 2026-05-31
323 | Ravioles de verdura 5 ESTRELLAS 750 g | 5 ESTRELLAS | Ravioles Congelados | 2 | 316 | 2026-05-31
317 | Ravioles de Verdura Congelados LOS ABUELOS  1 Kg | LOS ABUELOS | Ravioles Congelados | 1 | 501 | 2026-05-31
336 | Ravioles de Verdura SPEZIA  750 gr | SPEZIA | Ravioles Congelados | NULL | 503 | 2026-05-31
326 | Ravioles Congelados de Verdura TIENDA INGLESA 750 gr | TIENDA INGLESA | Ravioles Congelados | NULL | 269 | 2026-05-31
316 | Ravioles Congelados de Verdura TIENDA INGLESA 750 gr | TIENDA INGLESA | Ravioles Congelados | NULL | 269 | 2026-05-31
209 | Salsa 4 Quesos AVANTI 220 g | AVANTI | Salsas 200 g | 1 | 189 | 2026-05-31
226 | Salsa bolognesa AVANTI 220 g | AVANTI | Salsas 200 g | 1 | 189 | 2026-05-31
198 | Salsa carusso AVANTI 220 g | AVANTI | Salsas 200 g | 1 | 189 | 2026-05-31
186 | Salsa Napolitana GOURMET a Base de Tomates 206 g | GOURMET | Salsas 200 g | 2 | 39 | 2026-05-31
155 | Salsa Napolitana GOURMET a Base de Tomates 206 g | GOURMET | Salsas 200 g | 2 | 39 | 2026-05-31
220 | Salsa 4 quesos LA ESPECIALISTA 200 g | LA ESPECIALISTA | Salsas 200 g | 1 | 225 | 2026-05-31
